City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Saldanha,-33.0117,17.9442,53.65,73,100,9.19,ZA,1657702060
Honningsvag,70.9821,25.9704,71.35,56,5,8.05,NO,1657702060
Leh,34.1667,77.5833,73.38,22,29,7.94,IN,1657702060
Honiara,-9.4333,159.95,80.17,78,75,6.06,SB,1657702060
Xinye,32.5186,112.3522,95.05,56,100,2.24,CN,1657702060
Yeppoon,-23.1333,150.7333,58.78,58,0,7.11,AU,1657702060
Barra do corda,-5.5,-45.25,70.92,80,45,2.66,BR,1657701853
Blackwater,-23.5833,148.8833,54.45,46,0,9.55,AU,1657702061
Hambantota,6.1241,81.1185,93.54,49,20,20.71,LK,1657702061
Soria,41.6667,-2.6667,91.11,39,10,2.46,ES,1657702061
Trairi,-3.2778,-39.2689,74.52,90,15,9.28,BR,1657701968
Salamanca,40.8333,-6.0,85.62,19,100,0.98,ES,1657701831
Monrovia,6.3005,-10.7969,76.57,86,91,8.66,LR,1657702061
Portland,45.5234,-122.6762,61.61,76,0,4.61,US,1657701820
Namibe,-15.1961,12.1522,69.37,68,35,3.69,AO,1657702061
Chanika,-5.4167,38.0167,77.92,42,14,8.01,TZ,1657702061
Verkhnevilyuysk,63.4453,120.3167,75.34,65,35,4.5,RU,1657702061
Ayr,55.4627,-4.6339,61.5,77,40,13.8,GB,1657702061
Perth,-31.9333,115.8333,72.34,54,0,10.36,AU,1657702062
Port keats,-14.25,129.55,74.77,24,8,7.74,AU,1657702062
Sargodha,32.0836,72.6711,101.05,38,82,6.08,PK,1657702062
Gillette,44.2911,-105.5022,68.95,57,0,13.8,US,1657702062
Clyde river,70.4692,-68.5914,35.83,93,0,5.75,CA,1657702062
Zeven,53.3,9.2833,74.91,54,80,11.21,DE,1657702062
Verkhniy fiagdon,42.8333,44.3053,70.47,57,14,1.5,RU,1657702062
Balikpapan,-1.2675,116.8289,83.39,84,40,4.61,ID,1657702062
Shache,38.4167,77.2406,81.75,26,100,15.26,CN,1657702062
Grand-santi,4.25,-54.3833,72.07,99,98,1.79,GF,1657702062
Onokhoy,51.932,108.0747,85.75,27,34,8.01,RU,1657702063
Mayo,38.8876,-76.5119,72.72,91,0,1.01,US,1657702063
Olga,43.7444,135.2892,64.33,98,100,6.17,RU,1657701783
Port hardy,50.6996,-127.4199,51.8,93,20,5.75,CA,1657702063
Ilovlya,49.3033,43.9796,81.95,51,98,9.22,RU,1657702063
Orange walk,17.8333,-88.8333,74.62,99,100,2.59,BZ,1657702063
Padang,-0.9492,100.3543,87.85,72,96,4.09,ID,1657702063
Mount barker,-35.0667,138.8667,50.14,93,67,3.69,AU,1657702063
Yantal,56.8471,105.2542,68.99,51,100,5.19,RU,1657702064
Omidiyeh,30.7597,49.705,109.27,26,40,11.5,IR,1657702064
Hetauda,27.4284,85.0322,94.35,65,99,2.75,NP,1657702064
Noumea,-22.2763,166.4572,73.0,99,100,2.39,NC,1657702064
Alghero,40.5589,8.3181,86.09,48,0,9.22,IT,1657702064
Tiarei,-17.5333,-149.3333,71.62,77,39,16.93,PF,1657702065
Kununurra,-15.7667,128.7333,76.98,13,11,8.05,AU,1657702065
Saint anthony,45.0205,-93.218,62.92,95,0,4.61,US,1657702065
Ormara,25.2088,64.6357,85.51,80,5,14.63,PK,1657702065
Tual,-5.6667,132.75,79.47,81,96,24.74,ID,1657702065
Korla,41.7597,86.1469,90.46,14,89,7.49,CN,1657702065
Basoda,23.85,77.9333,91.35,54,91,8.21,IN,1657702065
San andres,12.5847,-81.7006,82.42,83,100,13.8,CO,1657702065
Kosai,34.7105,137.5316,86.86,75,100,6.49,JP,1657702065
Kerouane,9.2667,-9.0167,74.53,84,95,4.9,GN,1657702065
Zlobin,45.2924,14.6541,75.16,45,20,8.05,HR,1657702066
Marataizes,-21.0433,-40.8244,68.11,75,100,4.14,BR,1657702066
Cumana,10.4635,-64.1775,75.74,82,100,4.76,VE,1657702066
Grande prairie,55.1667,-118.8027,51.98,93,75,2.3,CA,1657702066
Palmer,42.1584,-72.3287,68.41,84,40,0.0,US,1657702066
Evanston,42.0411,-87.6901,71.1,79,20,4.61,US,1657702066
Tokur,53.1333,132.9,71.94,59,100,4.32,RU,1657702006
Taltal,-25.4,-70.4833,54.97,86,59,4.56,CL,1657702066
Fuerte olimpo,-21.0415,-57.8738,60.89,51,88,2.59,PY,1657701854
Charlottetown,46.2352,-63.1267,66.78,85,100,17.27,CA,1657702067
Kazachinskoye,57.6953,93.2761,64.18,56,69,8.5,RU,1657702067
Ilhabela,-23.7781,-45.3581,66.06,90,100,6.13,BR,1657702067
Te anau,-45.4167,167.7167,39.29,99,100,1.95,NZ,1657702067
Cockburn town,21.4612,-71.1419,81.32,80,0,16.46,TC,1657702067
Hamilton,39.1834,-84.5333,67.77,90,0,0.0,US,1657702067
Canon city,38.441,-105.2424,70.2,51,0,11.5,US,1657702067
Yantzaza,-3.8278,-78.7594,63.57,99,96,0.65,EC,1657702067
Hualmay,-11.0964,-77.6139,59.45,84,38,6.89,PE,1657702068
Agropoli,40.3469,14.9966,82.09,40,1,3.49,IT,1657702068
Oriximina,-1.7656,-55.8661,73.11,91,58,1.52,BR,1657702068
Kutum,14.2,24.6667,80.6,50,99,13.73,SD,1657702068
Amnat charoen,15.9167,104.75,84.33,71,100,9.01,TH,1657702068
Lagoa,39.05,-27.9833,69.06,92,43,14.05,PT,1657702068
Bira,49.0,132.4667,76.6,72,25,6.31,RU,1657702068
Kruisfontein,-34.0033,24.7314,62.89,43,32,8.16,ZA,1657702069
Makat,47.6469,53.3463,102.33,16,31,9.6,KZ,1657702069
Vila franca do campo,37.7167,-25.4333,71.2,93,95,13.85,PT,1657702069
Winnemucca,40.973,-117.7357,84.25,20,0,11.5,US,1657702069
Biltine,14.5333,20.9167,88.97,43,98,12.71,TD,1657702069
Sorbhog,26.5,90.8667,93.6,61,100,8.21,IN,1657702069
Aykhal,66.0,111.5,54.5,62,100,7.63,RU,1657702069
Nikolaevo,42.6333,25.8,79.66,30,0,12.33,BG,1657702069
Ginir,7.1333,40.7,71.42,47,57,9.75,ET,1657702069
Diamantina,-18.2494,-43.6003,50.72,95,41,3.42,BR,1657702069
Avera,33.194,-82.5271,74.71,91,98,6.02,US,1657702070
Itupiranga,-5.1347,-49.3267,73.72,60,96,2.37,BR,1657701906
Lumeje,-11.55,20.7833,74.07,29,0,8.3,AO,1657702070
Havoysund,70.9963,24.6622,71.83,59,4,11.03,NO,1657702070
Mwinilunga,-11.7358,24.4293,73.2,32,1,8.81,ZM,1657702070
Port-cartier,50.0334,-66.8654,59.22,88,88,14.81,CA,1657702070
Esfahan,32.6572,51.6776,92.84,6,0,18.79,IR,1657701956
Gasa,31.5,34.4667,90.88,59,1,12.01,PS,1657702070
Sakakah,29.9697,40.2064,99.97,9,0,1.05,SA,1657702070
Ketchikan,55.3422,-131.6461,54.07,94,100,6.91,US,1657702070
Bandarbeyla,9.4942,50.8122,89.92,43,100,24.34,SO,1657702070
Ust-maya,60.4167,134.5333,76.24,60,51,1.7,RU,1657702071
Galesong,-5.3166,119.3661,78.82,74,96,4.99,ID,1657702071
Hirson,49.9226,4.0826,80.85,33,89,8.28,FR,1657702071
Mikuni,36.2171,136.1519,76.91,88,100,2.26,JP,1657702071
Aktau,43.65,51.2,99.18,31,2,18.99,KZ,1657702071
Oussouye,12.485,-16.5469,80.69,79,67,7.31,SN,1657702071
Umm lajj,25.0213,37.2685,90.16,55,87,11.12,SA,1657702060
Deputatskiy,69.3,139.9,52.47,65,42,8.55,RU,1657702071
Camacha,33.0833,-16.3333,67.42,68,20,5.75,PT,1657702072
Sarangani,5.4033,125.4636,80.44,80,100,5.35,PH,1657702072
Santa fe,-31.6333,-60.7,44.02,89,0,5.01,AR,1657701960
General teran,25.2667,-99.6833,76.53,82,22,7.49,MX,1657702072
Abapo,-18.8333,-63.4667,50.11,58,98,0.87,BO,1657702072
Quezon,7.7303,125.0989,80.08,90,100,1.77,PH,1657702072
Lambarene,-0.7001,10.2406,73.42,94,100,4.07,GA,1657702072
Sulangan,11.1373,123.7228,85.28,70,98,4.65,PH,1657702072
Ruteng,-8.6136,120.4721,64.35,80,87,1.54,ID,1657702072
Dunedin,-45.8742,170.5036,42.71,96,100,21.07,NZ,1657702073
Peruibe,-24.32,-46.9983,62.67,92,100,5.86,BR,1657701855
Lar,26.2039,83.9717,104.97,29,54,14.61,IN,1657702073
Nyaunglebin,17.95,96.7333,81.0,82,88,7.47,MM,1657702073
Atasu,48.6814,71.6433,84.2,25,1,13.15,KZ,1657702073
Siocon,7.7061,122.1353,83.32,77,98,4.34,PH,1657702073
Maine-soroa,13.2114,12.0241,92.41,41,90,17.4,NE,1657702073
Mandalgovi,45.7625,106.2708,74.64,26,100,4.9,MN,1657702073
Qaqortoq,60.7167,-46.0333,44.06,77,0,2.71,GL,1657702074
Mezhova,48.2532,36.7347,79.48,27,0,9.53,UA,1657702074
Pandan niog,6.2282,120.5631,83.14,73,70,7.56,PH,1657702074
Berlevag,70.8578,29.0864,75.2,72,0,16.11,NO,1657702074
Sao filipe,14.8961,-24.4956,75.06,83,66,6.64,CV,1657702074
Shelburne,44.0787,-80.2041,54.3,97,3,6.11,CA,1657702074
Magadan,59.5667,150.8,74.53,80,13,7.0,RU,1657702074
Buraydah,26.326,43.975,104.45,9,94,11.83,SA,1657701960
Zhob,31.3411,69.4481,92.21,25,13,2.59,PK,1657702074
Sangar,63.9242,127.4739,71.38,65,36,3.91,RU,1657702075
Acarau,-2.8856,-40.12,75.97,88,16,11.83,BR,1657702075
Umm kaddadah,13.6017,26.6876,85.55,49,100,11.9,SD,1657702075
Kyaikto,17.3,97.0167,79.0,85,96,5.3,MM,1657702075
Baykit,61.67,96.37,55.17,92,100,3.62,RU,1657702075
Kushmurun,52.4503,64.6311,83.17,45,63,7.36,KZ,1657702075
Zalantun,48.0,122.7167,64.56,98,100,4.59,CN,1657702075
Dongfeng,42.6403,125.5118,67.1,97,100,7.0,CN,1657702075
Chapleau,47.8405,-83.4034,51.04,72,100,3.87,CA,1657702076
Puerto escondido,15.85,-97.0667,78.4,85,100,4.25,MX,1657702076
Grafton,42.207,-71.6856,68.52,94,40,9.22,US,1657702076
Mitu,1.1983,-70.1733,69.53,99,94,1.48,CO,1657702076
Rajapur,25.3833,81.15,106.38,26,73,14.2,IN,1657702076
Chahuites,16.2833,-94.1833,76.6,89,100,1.81,MX,1657702076
Hay river,60.8156,-115.7999,58.98,58,100,6.91,CA,1657702076
Olafsvik,64.8945,-23.7142,49.14,73,18,8.97,IS,1657702076
Bilibino,68.0546,166.4372,60.76,62,100,7.52,RU,1657701900
Batemans bay,-35.7167,150.1833,53.1,64,97,10.4,AU,1657702077
Villa guerrero,18.8667,-99.65,65.26,93,100,3.2,MX,1657702077
Katherine,-14.4667,132.2667,73.72,17,100,8.05,AU,1657702077
Rancho palos verdes,33.7445,-118.387,65.08,90,52,1.99,US,1657702077
Iqaluit,63.7506,-68.5145,49.73,87,100,3.44,CA,1657701813
Kisangani,0.5167,25.2,76.1,80,100,2.44,CD,1657702077
Imbituba,-28.24,-48.6703,58.86,91,98,4.21,BR,1657702078
Coxim,-18.5067,-54.76,63.99,89,12,2.84,BR,1657702078
Broken hill,-31.95,141.4333,47.48,55,3,9.71,AU,1657702078
Ambunti,-4.2365,142.8448,80.53,75,96,2.57,PG,1657702078
Brae,60.3964,-1.353,53.65,90,100,22.12,GB,1657702078
Puerto ayacucho,5.6639,-67.6236,72.97,97,91,1.34,VE,1657702078
Blankenberge,51.3131,3.1323,79.14,63,95,1.01,BE,1657702078
Nishihara,26.1842,127.7558,89.65,70,40,8.05,JP,1657702078
Tayga,56.06,85.6197,63.1,42,96,6.8,RU,1657701823
Tevriz,57.509,72.4042,62.51,82,99,5.95,RU,1657702078
Ramotswa,-24.8716,25.8699,64.02,33,6,8.01,BW,1657702079
Navahrudak,53.6,25.8333,58.69,82,89,15.14,BY,1657702079
Ebejico,6.326,-75.7683,67.62,98,100,0.89,CO,1657702079
Cortez,37.3489,-108.5859,65.16,69,0,4.61,US,1657702079
College,64.8569,-147.8028,67.95,73,75,3.44,US,1657702079
